#register,order_timestamp,payment_method_id,event_sponsor,venue,event,#of_items_in_order,total_order_value,type_transaction
1,2025-10-31 10:30:00,1,Empresa A,Estádio Municipal,Show de Rock,2,150.50,venda
2,2025-10-31 11:45:00,4,Empresa B,Teatro Nacional,Peça de Teatro,1,80.00,venda
3,2025-10-31 14:20:00,2,Empresa A,Arena Sports,Jogo de Futebol,4,320.00,venda
4,2025-10-31 16:00:00,3,Empresa C,Centro de Convenções,Festival de Música,3,210.75,venda
5,2025-10-31 18:30:00,1,Empresa A,Estádio Municipal,Show de Rock,1,75.25,reembolso
5




